,relationship.target-concept-id,relationship.source-name,relationship.target-namespace,relationship.preferred-label,relationship.tree-depth,relationship.tree-sequence,relationship.target-name
0,44135766,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2009/role/negatedLabel,3,8,CostOfGoodsAndServicesSold
1,44135799,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2009/role/negatedTotalLabel,3,9,CostOfRevenue
2,44125511,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/terseLabel,3,26,EarningsPerShareBasic
3,44123082,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/terseLabel,3,27,EarningsPerShareDiluted
4,44131715,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/verboseLabel,3,14,GainLossOnDispositionOfAssets
5,44131786,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2009/role/negatedLabel,3,12,GeneralAndAdministrativeExpense
6,44131819,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/totalLabel,3,10,GrossProfit
7,44121773,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/totalLabel,3,18,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest
8,52629605,StatementLineItems,http://www.boeing.com/20241231,http://www.xbrl.org/2003/role/terseLabel,3,11,IncomeLossfromInvestments
9,44139718,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2009/role/negatedLabel,3,19,IncomeTaxExpenseBenefit
10,44129982,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2009/role/negatedLabel,3,17,InterestAndDebtExpense
11,44127997,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/totalLabel,3,22,NetIncomeLoss
12,44133374,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/terseLabel,3,21,NetIncomeLossAttributableToNoncontrollingInterest
13,44127993,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/totalLabel,3,25,NetIncomeLossAvailableToCommonStockholdersBasic
14,44128533,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/totalLabel,3,24,NetIncomeLossAvailableToCommonStockholdersDiluted
15,44131630,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/totalLabel,3,15,OperatingIncomeLoss
16,44132687,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/terseLabel,3,16,OtherNonoperatingIncomeExpense
17,44121964,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/terseLabel,3,23,PreferredStockDividendsIncomeStatementImpact
18,44129197,ProductsAndServicesDomain,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/terseLabel,4,4,ProductMember
19,44465101,StatementTable,http://fasb.org/srt/2024,http://www.xbrl.org/2003/role/terseLabel,2,2,ProductOrServiceAxis
20,44465084,ProductOrServiceAxis,http://fasb.org/srt/2024,http://www.xbrl.org/2003/role/terseLabel,3,3,ProductsAndServicesDomain
21,44133387,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/totalLabel,3,20,ProfitLoss
22,44121121,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2009/role/negatedLabel,3,13,ResearchAndDevelopmentExpense
23,44131636,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/verboseLabel,3,7,Revenues
24,44125313,ProductsAndServicesDomain,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/terseLabel,4,5,ServiceMember
25,44127026,StatementTable,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/terseLabel,2,6,StatementLineItems
26,44126870,IncomeStatementAbstract,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/terseLabel,1,1,StatementTable
